identyfikator,skrajne_lata,link
AOff206,1795-1796,https://caak.upjp2.edu.pl/en/j/5f3ccbaf1d8384083d69d5d1/s/0/f
AOff205,1791-1795,https://caak.upjp2.edu.pl/en/j/5f3ccda84d06ac088a8a08dd/s/0/f
AOff204,1778-1783,https://caak.upjp2.edu.pl/en/j/5f3cdb80d0cc44087e33f263/s/0/f
AOff203,1776-1777,https://caak.upjp2.edu.pl/en/j/5f3ceb03b593ba085fe9c490/s/0/f
AOff202,1774-1775,https://caak.upjp2.edu.pl/en/j/5f3cfb06b4ab9e61853d160a/s/0/f
AOff201,1771,https://caak.upjp2.edu.pl/en/j/5f573394d26cda5071a38ef0/s/0/f
AOff200,1768,https://caak.upjp2.edu.pl/en/j/5f57346a4c2b1a502c0041b5/s/0/f
AOff199,1767,https://caak.upjp2.edu.pl/en/j/5f57359a6d7df0505901ffbc/s/0/f
AOff198,1766,https://caak.upjp2.edu.pl/en/j/5f5736278ab7ae504d3180e7/s/0/f
AOff197,1765,https://caak.upjp2.edu.pl/en/j/5f573ca2311a5f507641818d/s/0/f
AOff196,1764,https://caak.upjp2.edu.pl/en/j/5f573df5aa682a7d5715cee9/s/0/f
AOff195,1763,https://caak.upjp2.edu.pl/en/j/5f573fbeb81c26503962fbf1/s/0/f
AOff194,1762,https://caak.upjp2.edu.pl/en/j/5f574181615c265040a6f94e/s/0/f
AOff193,1761,https://caak.upjp2.edu.pl/en/j/5f5743bd52f8d9501c589d8d/s/0/f
AOff192,1760,https://caak.upjp2.edu.pl/en/j/5f5744a0e697f85026be84b8/s/0/f
AOff191,unknown,https://caak.upjp2.edu.pl/en/j/5f57458ff1eea150470092e8/s/0/f
AOff190,1758,https://caak.upjp2.edu.pl/en/j/5f5745cbd26cda5071a39ba5/s/0/f
AOff189,1757,https://caak.upjp2.edu.pl/en/j/5f57475faa682a7d5715d04c/s/0/f
AOff188,1756,https://caak.upjp2.edu.pl/en/j/5f5747dc5aa4a6504cbe3340/s/0/f
AOff187,1755,https://caak.upjp2.edu.pl/en/j/5f574869311a5f50764187fe/s/0/f
AOff186,1753,https://caak.upjp2.edu.pl/en/j/5f57578c5aa4a6504cbe3784/s/0/f
AOff185,1752,https://caak.upjp2.edu.pl/en/j/5f5759a05aa4a6504cbe3830/s/0/f
AOff184,1751,https://caak.upjp2.edu.pl/en/j/5f5759d85aa4a6504cbe3841/s/0/f
AOff183,1750,https://caak.upjp2.edu.pl/en/j/5f575a268e3237506bbbc5a0/s/0/f
AOff182,1748,https://caak.upjp2.edu.pl/en/j/5f575a9c3c9fd5353b10319f/s/0/f
AOff181,1747,https://caak.upjp2.edu.pl/en/j/5f575b04f1eea150470098bd/s/0/f
AOff180,1745-1746,https://caak.upjp2.edu.pl/en/j/5f575b7bd26cda5071a3a19b/s/0/f
AOff179,1744,https://caak.upjp2.edu.pl/en/j/5f575be05aa4a6504cbe3918/s/0/f
AOff178,1743,https://caak.upjp2.edu.pl/en/j/5f575c6e52f8d9501c58a419/s/0/f
AOff177,1741-1742,https://caak.upjp2.edu.pl/en/j/5f575e423c9fd5353b10337f/s/0/f
AOff176,1741,https://caak.upjp2.edu.pl/en/j/5f575e7f4c2b1a502c0055e2/s/0/f
AOff175,1738-1739,https://caak.upjp2.edu.pl/en/j/5f575ee5b4653c5063d4ffc8/s/0/f
AOff174,1737,https://caak.upjp2.edu.pl/en/j/5f8eb421d43d2c196ade8bdc/s/0/f
AOff173,1736,https://caak.upjp2.edu.pl/en/j/5f8eb67b9b7863394338ed2d/s/0/f
AOff172,1734-1735,https://caak.upjp2.edu.pl/en/j/5f8eb8f5cb3db053e8a7a3c4/s/0/f
AOff171,1730-1734,https://caak.upjp2.edu.pl/en/j/5fa3ddbfe001ab08a340fd08/s/0/f
AOff170,1729-1730,https://caak.upjp2.edu.pl/en/j/5ff850c0f235eb285e81d2f6/s/0/f
AOff169,1727-1728,https://caak.upjp2.edu.pl/en/j/5ff850f3f235eb285e81d2fb/s/0/f
AOff168,1724-1726,https://caak.upjp2.edu.pl/en/j/5ff85133619442067bf760ce/s/0/f
AOff167,1720-1723,https://caak.upjp2.edu.pl/en/j/5ff85173619442067bf760d3/s/0/f
AOff166,1714-1719,https://caak.upjp2.edu.pl/en/j/5ff851ad619442067bf760d8/s/0/f
AOff165,1710-1717,https://caak.upjp2.edu.pl/en/j/5ffc1f73301dd32857d16f82/s/0/f
AOff164,1697-1698,https://caak.upjp2.edu.pl/en/j/6006b04d1c1a805e226792cb/s/0/f
AOff163,1698,https://caak.upjp2.edu.pl/en/j/6006b071bf4340645ca4d52b/s/0/f
AOff162,1695,https://caak.upjp2.edu.pl/en/j/5f57394af1eea15047008a73/s/0/f
AOff161,1695,https://caak.upjp2.edu.pl/en/j/5f4f56c0b3c4720d19c4b537/s/0/f
AOff160,1690,https://caak.upjp2.edu.pl/en/j/6006b09f25c80368bfc42244/s/0/f
AOff159,1681,https://caak.upjp2.edu.pl/en/j/5f083a78ceca5f0928579b1e/s/0/f
AOff158,1671-1681,https://caak.upjp2.edu.pl/en/j/5f1a6ef4ceca5f09285c6658/s/0/f
AOff157,1686-189,https://caak.upjp2.edu.pl/en/j/6006b0d7b4a0126bb5b11446/s/0/f
AOff156,1683-1685,https://caak.upjp2.edu.pl/en/j/5f58d753d71fa1085963164f/s/0/f
AOff155,1678-1679,https://caak.upjp2.edu.pl/en/j/5f58a16b1a771a08293cb92e/s/0/f
AOff154,1675,https://caak.upjp2.edu.pl/en/j/5f084fccceca5f092857b668/s/0/f
AOff153,1676,https://caak.upjp2.edu.pl/en/j/5f1a6974abc17909014217f8/s/0/f
AOff152,1675,https://caak.upjp2.edu.pl/en/j/5f1a6b32c2c918091b45b7c0/s/0/f
AOff151,1647-1698,https://caak.upjp2.edu.pl/en/j/6006b12f9fb09a28639f19d6/s/0/f
AOff150,1673,https://caak.upjp2.edu.pl/en/j/60643ccf47e3216fcf2d376b/s/0/f
AOff149,1670,https://caak.upjp2.edu.pl/en/j/60a50cd3437c01093e9f6159/s/0/f
AOff148,1670,https://caak.upjp2.edu.pl/en/j/60a50d0eb93d6c096727829e/s/0/f
AOff147,1670,https://caak.upjp2.edu.pl/en/j/60a50d43fdeed9095ec0a8f6/s/0/f
AOff146,1670,https://caak.upjp2.edu.pl/en/j/60a50d7841f35c3242b3fd80/s/0/f
AOff145,1670,https://caak.upjp2.edu.pl/en/j/60a50dae0c7cc246cf5b93e1/s/0/f
AOff144,1670,https://caak.upjp2.edu.pl/en/j/60a50e30b93d6c096727839c/s/0/f
AOff143,1670,https://caak.upjp2.edu.pl/en/j/60a50e713892654460a1ac14/s/0/f
AOff142,1670,https://caak.upjp2.edu.pl/en/j/60a50e9c3892654460a1ac44/s/0/f
AOff141,1670,https://caak.upjp2.edu.pl/en/j/60a50ede5274e4697fdf0701/s/0/f
AOff140,,https://caak.upjp2.edu.pl/en/j/60a50f2114b3e109568e5dda/s/0/f

